attributes,datatype,date,station,value,datacoverage,elevation,elevationUnit,latitude,longitude,name
",,N,",PRCP,2018-05-28T00:00:00,GHCND:US1KSJO0040,0.0,0.9222,291.7,METERS,38.9846,-94.7633,"LENEXA 2.0 NE, KS US"
",,N,",SNOW,2018-05-28T00:00:00,GHCND:US1KSJO0040,0.0,0.9222,291.7,METERS,38.9846,-94.7633,"LENEXA 2.0 NE, KS US"
",,N,",PRCP,2018-05-28T00:00:00,GHCND:US1KSJO0042,0.0,0.8384,303.3,METERS,38.9315,-94.8865,"OLATHE 4.9 NW, KS US"
",,N,",SNOW,2018-05-28T00:00:00,GHCND:US1KSJO0042,0.0,0.8384,303.3,METERS,38.9315,-94.8865,"OLATHE 4.9 NW, KS US"
",,N,",PRCP,2018-05-28T00:00:00,GHCND:US1KSJO0051,0.0,0.2048,312.4,METERS,38.9064,-94.7989,"OLATHE 1.6 NNE, KS US"
",,N,",SNOW,2018-05-28T00:00:00,GHCND:US1KSJO0051,0.0,0.2048,312.4,METERS,38.9064,-94.7989,"OLATHE 1.6 NNE, KS US"
",,N,",PRCP,2018-05-28T00:00:00,GHCND:US1KSJO0053,0.0,0.9934,299.9,METERS,38.8669,-94.6923,"OVERLAND PARK 3.3 S, KS US"
",,N,",SNOW,2018-05-28T00:00:00,GHCND:US1KSJO0053,0.0,0.9934,299.9,METERS,38.8669,-94.6923,"OVERLAND PARK 3.3 S, KS US"
",,N,",PRCP,2018-05-28T00:00:00,GHCND:US1KSJO0058,0.0,0.9653,314.6,METERS,39.0019,-94.6535,"OVERLAND PARK 1.7 NE, KS US"
",,N,",PRCP,2018-05-28T00:00:00,GHCND:US1KSJO0060,0.0,0.976,315.5,METERS,38.9173,-94.7942,"OLATHE 2.4 NNE, KS US"
",,N,",PRCP,2018-05-28T00:00:00,GHCND:US1KSJO0061,0.0,0.0573,317.6,METERS,38.857,-94.68,"OVERLAND PARK 4.0 S, KS US"
",,N,",SNOW,2018-05-28T00:00:00,GHCND:US1KSJO0061,0.0,0.0573,317.6,METERS,38.857,-94.68,"OVERLAND PARK 4.0 S, KS US"
",,N,",PRCP,2018-05-28T00:00:00,GHCND:US1MOCY0003,0.0,0.294,226.2,METERS,39.1472,-94.5698,"NORTH KANSAS CITY 0.6 NNW, MO US"
",,N,",SNOW,2018-05-28T00:00:00,GHCND:US1MOCY0003,0.0,0.294,226.2,METERS,39.1472,-94.5698,"NORTH KANSAS CITY 0.6 NNW, MO US"
",,N,",PRCP,2018-05-28T00:00:00,GHCND:US1MOJC0001,0.0,0.683,286.5,METERS,38.9388,-94.3559,"UNITY VILLAGE 2.6 ESE, MO US"
",,N,",SNOW,2018-05-28T00:00:00,GHCND:US1MOJC0001,0.0,0.683,286.5,METERS,38.9388,-94.3559,"UNITY VILLAGE 2.6 ESE, MO US"
",,N,",PRCP,2018-05-28T00:00:00,GHCND:US1MOJC0028,0.0,0.5577,264.9,METERS,39.0692,-94.4871,"KANSAS CITY 5.1 SE, MO US"
",,N,",PRCP,2018-05-28T00:00:00,GHCND:US1MOJC0035,0.0,0.888,248.1,METERS,38.9593,-94.4426,"RAYTOWN 2.7 SSE, MO US"
",,N,",SNOW,2018-05-28T00:00:00,GHCND:US1MOJC0035,0.0,0.888,248.1,METERS,38.9593,-94.4426,"RAYTOWN 2.7 SSE, MO US"
",,7,0700",PRCP,2018-05-28T00:00:00,GHCND:USC00140957,0.0,0.9896,259.1,METERS,39.06361,-94.896,"BONNER SPRINGS, KS US"
",,7,",SNOW,2018-05-28T00:00:00,GHCND:USC00140957,0.0,0.9896,259.1,METERS,39.06361,-94.896,"BONNER SPRINGS, KS US"
",,7,",SNWD,2018-05-28T00:00:00,GHCND:USC00140957,0.0,0.9896,259.1,METERS,39.06361,-94.896,"BONNER SPRINGS, KS US"
",,7,0700",TMAX,2018-05-28T00:00:00,GHCND:USC00140957,92.0,0.9896,259.1,METERS,39.06361,-94.896,"BONNER SPRINGS, KS US"
",,7,0700",TMIN,2018-05-28T00:00:00,GHCND:USC00140957,67.0,0.9896,259.1,METERS,39.06361,-94.896,"BONNER SPRINGS, KS US"
",,7,0700",TOBS,2018-05-28T00:00:00,GHCND:USC00140957,69.0,0.9896,259.1,METERS,39.06361,-94.896,"BONNER SPRINGS, KS US"
