goodPrimers_10,noAnvil_10,emptyCup_10,goodPrimers_40,noAnvil_40,emptyCup_40
993,53,348,997,250,737
989,72,304,964,287,740
983,41,301,980,267,746
983,140,322,979,315,734
978,50,302,948,275,742
978,213,294,997,383,721
976,51,321,968,323,714
975,159,322,989,326,714
974,155,355,980,284,721
973,25,331,993,358,816
971,139,291,974,329,777
970,137,283,990,260,788
970,66,302,980,481,809
970,100,275,994,437,840
968,81,310,961,280,787
967,45,336,977,269,758
966,46,319,986,279,776
966,164,317,994,328,779
966,77,321,989,298,829
965,109,334,993,262,810
964,81,281,978,410,804
963,104,329,981,426,791
963,44,289,968,334,764
963,149,340,967,255,760
962,39,298,980,289,789
961,57,361,981,388,780
961,89,333,987,208,753
960,42,271,990,331,804
960,55,323,968,280,762
959,21,310,973,397,754
958,90,322,982,388,818
957,122,280,932,293,763
957,38,326,982,286,809
955,396,350,994,387,791
955,95,354,962,295,_
955,13,354,985,415,_
952,48,265,989,320,_
952,97,294,995,312,_
950,66,327,972,330,_
949,50,283,971,325,_
949,35,261,993,288,_
948,68,291,920,302,_
947,129,322,992,323,_
947,656,331,950,277,_
946,53,303,911,280,_
946,62,326,990,356,_
946,108,365,947,270,_
945,62,328,990,317,_
945,62,293,993,402,_
943,123,316,990,340,_
942,70,278,977,450,_
942,56,279,995,299,_
941,157,312,988,249,_
941,52,334,989,293,_
940,70,329,996,266,_
940,128,311,985,374,_
939,130,307,931,536,_
938,183,276,957,409,_
938,117,308,987,305,_
938,84,331,962,329,_
936,53,301,983,285,_
936,132,322,965,323,_
936,53,344,967,337,_
935,73,280,958,304,_
933,77,313,976,329,_
931,137,278,968,374,_
929,741,335,993,291,_
928,63,281,985,265,_
928,75,283,994,176,_
927,37,268,987,275,_
927,147,283,995,384,_
926,164,330,982,382,_
924,56,277,987,297,_
923,59,310,993,289,_
923,111,339,934,457,_
923,599,341,986,408,_
922,44,276,992,405,_
922,136,328,963,343,_
921,72,303,992,417,_
921,54,279,972,331,_
917,36,267,991,277,_
915,86,324,983,268,_
914,68,306,990,260,_
907,100,327,918,398,_
907,86,334,994,496,_
903,185,293,966,315,_
903,78,316,990,277,_
902,7,311,885,418,_
896,116,287,982,320,_
892,748,279,990,425,_
890,29,240,994,326,_
887,142,341,995,321,_
873,156,320,985,319,_
848,38,328,989,280,_
992,130,331,950,257,_
990,94,326,958,383,_
990,93,329,980,398,_
990,40,336,988,276,_
989,3,285,990,369,_
988,10,281,984,298,_
988,145,324,941,274,_
988,161,350,959,374,_
986,84,318,983,313,_
985,139,341,944,432,_
985,26,321,977,457,_
984,55,305,967,328,_
983,76,_,966,302,_
983,67,_,943,275,_
982,52,_,967,419,_
981,56,_,988,184,_
980,76,_,985,342,_
978,126,_,982,464,_
978,125,_,944,297,_
978,98,_,993,324,_
978,33,_,993,256,_
977,109,_,984,492,_
977,40,_,994,441,_
976,56,_,952,399,_
975,46,_,990,323,_
975,147,_,904,312,_
974,69,_,935,342,_
973,112,_,990,307,_
973,53,_,905,366,_
973,50,_,988,301,_
973,68,_,961,441,_
972,53,_,982,369,_
972,82,_,913,238,_
971,90,_,990,311,_
970,78,_,992,277,_
970,72,_,976,403,_
969,129,_,954,378,_
969,747,_,963,325,_
969,66,_,988,395,_
969,88,_,965,306,_
969,37,_,958,335,_
969,120,_,980,252,_
968,75,_,989,257,_
968,70,_,964,205,_
968,3,_,981,339,_
968,70,_,980,447,_
968,57,_,993,275,_
966,3,_,986,297,_
966,83,_,982,280,_
966,45,_,985,323,_
966,54,_,974,263,_
965,64,_,989,264,_
965,53,_,960,452,_
964,135,_,981,271,_
964,160,_,979,295,_
963,65,_,977,233,_
963,57,_,976,290,_
963,140,_,924,261,_
963,128,_,959,316,_
961,50,_,973,470,_
960,72,_,971,301,_
960,72,_,989,324,_
960,14,_,996,264,_
960,57,_,978,293,_
